"","ID_RELACION","ID_ESCUELA","CODIGO_COMUNA","LATITUD","LONGITUD"
"7102",NA,12006,8416,"-36.4353230","-71.9265430"
"7103",NA,12008,8102,"-36.9853820","-73.1665820"
"7104",NA,12011,8203,"-37.7999900","-73.3979300"
"7105",NA,12014,8401,"-36.6164170","-72.1224750"
"7106",NA,12015,8301,"-37.4669000","-72.3291110"
"7107",NA,12018,8411,"-36.8048920","-71.8133090"
"7108",NA,12020,8303,"-37.0357750","-72.4051080"
"7109",NA,12022,8301,"-37.4479700","-72.1394250"
"7110",NA,12023,8110,"-36.7239420","-73.1223390"
"7111",NA,12024,8101,"-36.7863400","-73.0187510"
"7112",NA,12025,8103,"-36.8763330","-73.0332480"
"7113",NA,12027,8416,"-36.4181480","-71.9685820"
"7114",NA,12031,8312,"-37.2442030","-71.9441750"
"7115",NA,12032,8421,"-37.1612590","-72.0714390"
"7116",NA,12033,8102,"-36.9916920","-73.1683620"
"7117",NA,12035,8110,"-36.7244950","-73.1122500"
"7118",NA,12036,8103,"-36.8886000","-73.0355250"
"7119",NA,12037,8304,"-37.2866990","-72.7028360"
"7120",NA,12042,8304,"-37.2762200","-72.7177900"
"7121",NA,12046,8405,"-36.6281430","-71.8308600"
"7122",NA,12050,8401,"-36.5915230","-72.0958710"
"7123",NA,12051,8305,"-37.7198600","-72.2469300"
"7124",NA,12052,8106,"-37.0842300","-73.1652100"
"7125",NA,12055,8101,"-36.8216520","-73.0372690"
"7126",NA,12058,8105,"-36.9668500","-72.9327060"
"7127",NA,12059,8311,"-37.6745830","-71.9341770"
"7128",NA,12062,8108,"-36.8435810","-73.1122890"
"7129",NA,12063,8110,"-36.7855570","-73.0608330"
"7130",NA,12064,8202,"-37.2379540","-73.6327100"
"7131",NA,12065,8420,"-36.3603630","-72.8528660"
"7132",NA,12073,13119,"-33.4779430","-70.7292880"
"7133",NA,12076,13201,"-33.6264630","-70.6100170"
"7134",NA,12077,13201,"-33.5650610","-70.5733800"
"7135",NA,12079,13401,"-33.5952540","-70.6863260"
"7136",NA,12083,13119,"-33.4744890","-70.7275320"
"7137",NA,12085,13110,"-33.5123450","-70.5643050"
"7138",NA,12086,13114,"-33.4290650","-70.5866910"
"7139",NA,12087,13113,"-33.4510610","-70.5276970"
"7140",NA,12090,13113,"-33.4421320","-70.5686060"
"7141",NA,12092,13120,"-33.4490900","-70.6018400"
"7142",NA,12094,13132,"-33.3822740","-70.5539140"
"7143",NA,12095,13110,"-33.5628700","-70.5846610"
"7144",NA,12097,13110,"-33.5333460","-70.5990040"
"7145",NA,12102,13119,"-33.5267030","-70.7661060"
"7146",NA,12103,13116,"-33.5082000","-70.6767650"
"7147",NA,12105,13112,"-33.5787810","-70.6495590"
"7148",NA,12108,13129,"-33.5047300","-70.6342540"
"7149",NA,12111,13401,"-33.5601240","-70.7125770"
"7150",NA,12113,13128,"-33.4057150","-70.7446300"
"7151",NA,12115,13128,"-33.4051890","-70.7048450"
"7152",NA,12117,13125,"-33.3680520","-70.7324950"
