"Nombres","Latitud","Longitud","Numero.Alumnos"
"LICEO CAMILO HENRIQUEZ DE TEMUCO","-38.7324280","-72.6221710",2883
"ESCUELA BASICA VISTA VERDE","-38.7560010","-72.6420850",362
"ESCUELA PARTICULAR MADRE ADMIRABLE","-38.7310340","-72.5750580",361
"COLEGIO SAN FRANCISCO","-38.7367370","-72.6001140",801
"ESCUELA PARTICULAR ARTURO ARRIAGADA","-38.7531680","-72.6256780",112
"ESC. ESP.RETARDO MENTAL LAS ARAUCARIAS","-38.7388100","-72.6075200",48
"ESC.PART.SAN FRANCISCO DE ASIS DE TEMUCO","-38.7414410","-72.6117580",762
"ESCUELA PARTICULAR FRANCIA","-38.7420120","-72.5882550",405
"ESCUELA PART. WENCESLAO VALDIVIA","-38.7441000","-72.5785170",145
"ESCUELA PARTICULAR EL ROBLE","-38.7305850","-72.6261910",190
"ESCUELA PARTICULAR LA ESPIGA","-38.7287170","-72.6089200",193
"ESCUELA PARTICULAR ESTRELLA DE BELEN","-38.7442980","-72.5825950",75
"ESCUELA PARTICULAR ALIANZA","-38.7306990","-72.5670730",160
"ESCUELA PARTICULAR LAS AMERICAS","-38.7178680","-72.6203700",570
"ESCUELA PARTICULAR ARAUCANIA","-38.7376300","-72.5753950",312
"ESCUELA PARTICULAR VILLA IRMA","-38.7577150","-72.6313450",287
"LICEO TECNICO PROF. CENTENARIO","-38.7400450","-72.5713550",817
"ESCUELA PARTICULAR SAN JUAN","-38.7324370","-72.5637670",420
"ESCUELA PARTICULAR LOS TRIGALES","-38.7352220","-72.6144980",98
"LICEO PARTICULAR NAZARETH","-38.7210130","-72.6106270",139
"COLEGIO PARTICULAR I. CULTURA BRITANICA","-38.7371810","-72.5847570",658
"ESCUELA PART.SANTA MARIA DE LA RIBERA","-38.7245700","-72.5582560",272
"ESCUELA PARTICULAR CLAUDIO MATTE","-38.7247480","-72.6284150",536
"ESCUELA PARTICULAR ARAUCANIA","-38.7657160","-72.7541320",392
"ESCUELA PARTICULAR PAPELUCHO","-38.7263980","-72.5649150",138
"COLEGIO MANUEL MONTT","-38.7396880","-72.5793830",409
"CENTRO EDUCACIONAL AGROTURÍSTICO SANTA CRUZ","-38.7092380","-72.5703690",95
"ESCUELA PARTICULAR BOTRONHUE","-38.7302010","-72.7933690",10
"ESCUELA PART. LOS COPIHUES","-38.6375700","-72.7481060",23
"ESCUELA PARTICULAR SAN SILVESTRE","-38.5845350","-72.7491540",16
"ESCUELA PARTICULAR MILLANTU","-38.7686430","-72.6809130",116
"ESCUELA PARTICULAR MONO PAINE","-38.7165820","-72.6204210",258
"ESCUELA SAN ANTONIO DE NIENOCO","-38.6068460","-72.7142240",31
"ESCUELA PARTICULAR RENGALIL","-38.7645250","-72.7859950",45
"ESCUELA PARTICULAR BOYECO","-38.6587830","-72.6657980",33
"ESCUELA PARTICULAR DIEGO PORTALES","-38.6282400","-72.6831760",69
"ESCUELA PARTICULAR KIMELTU DE PANCO","-38.6402150","-72.6610030",63
"ESCUELA PARTICULAR LUIS CRUZ MARTINEZ","-38.6722260","-72.6934170",69
"ESCUELA PARTICULAR SIGLO XXI","-38.7343440","-72.6009280",572
"ESCUELA PARTICULAR SAN JOSE","-38.7405450","-72.7713170",14
"ESCUELA PARTICULAR SAN MATEO","-38.5784240","-72.7151560",4
